Date,Close,High,Low,Open,Volume,Daily Return,general_sentiment,ai_sentiment
2018-01-02,436.5877990722656,438.1282477440792,419.3946194583641,426.2023343945522,15331261,0.0343882261501104,-0.963152654615103,-0.9377212631897848
2018-01-03,431.22113037109375,438.6748259767101,429.2831877111325,437.6809998959613,9794953,-0.0123684763653375,-0.963152654615103,-0.9377212631897848
2018-01-04,427.2955627441406,430.6248560632045,423.121480807677,427.3452419196738,8395377,-0.0091450638456961,-0.963152654615103,-0.9377212631897848
2018-01-05,428.9353637695313,433.6560378869839,427.1464585380493,428.5875185582014,7021611,0.0038302821806934,-0.963152654615103,-0.9377212631897848
2018-01-08,430.873291015625,433.5069544286295,428.985027502448,429.3328727012566,4635214,0.0045078181451946,-0.963152654615103,-0.9377212631897848
2018-01-09,434.8486022949219,440.7618797810351,430.32670562612896,431.56898826361777,12629045,0.0091838712892551,-0.963152654615103,-0.9377212631897848
2018-01-10,430.6248168945313,436.5877732161495,428.6371647873252,435.2958114781312,4702579,-0.0097607132479365,-0.963152654615103,-0.9377212631897848
2018-01-11,432.06591796875,434.8983285572078,430.2273335285814,430.8236352833884,4564895,0.0033409479351902,-0.963152654615103,-0.9377212631897848
2018-01-12,434.4013977050781,438.7245473390438,429.4322671669948,434.30200902848327,7408870,0.0053908216732886,-0.963152654615103,-0.9377212631897848
2018-01-15,429.68072509765625,437.3331679538054,428.3887329560341,435.34551573207847,4042775,-0.0109265530424407,-0.963152654615103,-0.9377212631897848
2018-01-16,419.2952270507813,432.5131324264058,416.9100504679302,430.326702866779,5623745,-0.0244671621500075,-0.963152654615103,-0.9377212631897848
2018-01-17,420.3387451171875,421.8791633818512,407.5680741527521,419.4442773979226,10204447,0.0024856512201141,-0.963152654615103,-0.9377212631897848
2018-01-18,416.3634338378906,425.6556830987346,411.89121663374215,421.382243235325,9579830,-0.0095024043011463,-0.963152654615103,-0.9377212631897848
2018-01-19,415.468994140625,419.34494024216366,412.48751580354366,412.6366139837305,3894062,-0.0021505293900469,-0.963152654615103,-0.9377212631897848
2018-01-22,419.2952270507813,421.7797923098273,415.8665451907971,416.4628165896356,4643782,0.009167282471079,-0.963152654615103,-0.9377212631897848
2018-01-23,415.4193115234375,420.18966469156186,412.1893766850376,420.18966469156186,6185011,-0.0092868716310372,-0.963152654615103,-0.9377212631897848
2018-01-24,401.1082153320313,413.6801092840808,400.16406841641344,413.4316527619882,10789570,-0.0350571447733709,-0.963152654615103,-0.9377212631897848
2018-01-25,397.8285827636719,405.13321079423343,395.5427948247431,400.9591592976027,16312167,-0.0082100386364797,-0.963152654615103,-0.9377212631897848
2018-01-29,396.7850646972656,403.3940021010301,395.6421707645968,400.0149994756404,5789602,-0.0026264806038113,-0.963152654615103,-0.9377212631897848
2018-01-30,393.4060668945313,399.8162270280793,392.5613086455369,397.5304391347209,6963005,-0.0085524078001989,-0.963152654615103,-0.9377212631897848
2018-01-31,397.0335388183594,398.4745988381027,392.8097777671002,393.05823429952727,5111454,0.0091784302393511,-0.963152654615103,-0.9377212631897848
2018-02-01,391.2196350097656,401.306963776696,388.13876805904914,397.4310480841273,7259426,-0.0147516291258269,-0.963152654615103,-0.9377212631897848
2018-02-02,381.3807678222656,394.94648809069673,378.94588173316725,389.57983318912864,10070356,-0.0254708619658516,-0.963152654615103,-0.9377212631897848
2018-02-05,393.3563537597656,395.5427832864826,377.6539136906116,378.6477397792711,9876017,0.0309176869088683,-0.963152654615103,-0.9377212631897848
2018-02-06,373.1320190429688,377.5048477897864,354.2990024340907,360.7588720436884,25294860,-0.0527836581114939,-0.963152654615103,-0.9377212631897848
2018-02-07,375.4674987792969,383.0205834129527,372.8835751115329,378.05145277622734,12706795,0.0062396174669011,-0.963152654615103,-0.9377212631897848
2018-02-08,372.5357055664063,377.6539037220698,369.9020725668089,377.5545150499943,12452396,-0.0078390258468047,-0.963152654615103,-0.9377212631897848
2018-02-09,366.4733581542969,370.8958962352144,365.7279886122881,367.6162520528774,8816777,-0.0164070610322939,-0.963152654615103,-0.9377212631897848
2018-02-12,369.5045471191406,373.8774064031938,367.9144495567579,371.0946750106903,6002369,0.0082372203904692,-0.963152654615103,-0.9377212631897848
2018-02-14,374.52337646484375,379.9397105790719,368.3119632633211,370.597751189815,9623436,0.0134911750224226,-0.963152654615103,-0.9377212631897848
2018-02-15,373.4798583984375,379.8403700789952,370.7965459667967,377.4551630342023,10225880,-0.0027901450013684,-0.963152654615103,-0.9377212631897848
2018-02-16,368.4610290527344,377.0576188097094,365.330482882516,375.6662683261864,8545282,-0.0135291260613467,-0.963152654615103,-0.9377212631897848
2018-02-19,366.4733581542969,372.3866353192319,360.5600809893618,371.3928092632203,5658765,-0.0054091243501764,-0.963152654615103,-0.9377212631897848
2018-02-20,367.01995849609375,368.6100862868236,364.2372576091902,368.0634940755563,3972114,0.0014904033358433,-0.963152654615103,-0.9377212631897848
2018-02-21,362.1999206542969,370.20020832673913,360.6097928882686,370.20020832673913,8640166,-0.0132199030157271,-0.963152654615103,-0.9377212631897848
2018-02-22,356.2866516113281,360.7588689955708,355.2928255259409,360.7588689955708,10870704,-0.0164607183763864,-0.963152654615103,-0.9377212631897848
2018-02-23,357.9761962890625,362.34902534341927,356.53513622006005,357.876807606861,6751064,0.0047308853705053,-0.963152654615103,-0.9377212631897848
2018-02-26,369.75299072265625,371.1940507084787,359.76505048586154,359.76505048586154,10576794,0.0323686966801922,-0.963152654615103,-0.9377212631897848
2018-02-27,370.2498779296875,374.2748915767857,368.0634788459215,372.68476385185176,6156672,0.0013429333932526,-0.963152654615103,-0.9377212631897848
2018-02-28,367.61627197265625,371.3431198846442,364.88325017053177,367.7156606494758,8009429,-0.0071384685174116,-0.963152654615103,-0.9377212631897848
2018-03-01,368.4610290527344,373.9767518131589,366.77151253970686,367.4672029460514,6991806,0.0022952954799081,-0.963152654615103,-0.9377212631897848
2018-03-05,349.8764953613281,366.4734047380828,347.93855250326493,366.4734047380828,14665325,-0.0517547285995094,-0.963152654615103,-0.9377212631897848
2018-03-06,344.3607482910156,355.7400694210432,342.87000912092464,352.9573381060404,8876632,-0.0158904270359323,-0.963152654615103,-0.9377212631897848
2018-03-07,345.6527099609375,353.1064058082478,341.130813278569,342.87000897627473,15599393,0.0037447477704971,-0.963152654615103,-0.9377212631897848
2018-03-08,343.0190734863281,349.7273996835672,338.9443803969868,348.63418490411,7674221,-0.0076484890966683,-0.963152654615103,-0.9377212631897848
2018-03-09,339.3916320800781,346.54719253085653,338.04996070441126,343.4166158779114,5519224,-0.0106313559936293,-0.963152654615103,-0.9377212631897848
2018-03-12,350.423095703125,351.61566884869035,338.24872574266885,342.87001113121283,8238960,0.0319865718267602,-0.963152654615103,-0.9377212631897848
2018-03-13,350.9696960449219,354.249340511615,347.83914976288924,350.42310379838983,6184241,0.0015586143994673,-0.963152654615103,-0.9377212631897848
2018-03-14,351.8641357421875,352.70889403423973,347.44162757889507,348.8329781209515,3820313,0.002545239399924,-0.963152654615103,-0.9377212631897848
2018-03-15,350.9200134277344,356.1872797979597,348.9323611628694,351.8641300560452,4331145,-0.0026868075597075,-0.963152654615103,-0.9377212631897848
2018-03-16,337.6524353027344,350.4231074278471,336.31076393106224,349.87648484648656,14205582,-0.038541247023469,-0.963152654615103,-0.9377212631897848
2018-03-19,333.62744140625,339.9879225234889,330.49686485749857,339.09348507920265,9391347,-0.0119921429875137,-0.963152654615103,-0.9377212631897848
2018-03-20,336.7082824707031,338.29841035284045,331.49069526095565,333.42866835624284,5080453,0.0091919993134921,-0.963152654615103,-0.9377212631897848
2018-03-21,331.78887939453125,340.13701331959487,330.1987514256695,337.8015157086887,6812442,-0.0147180636223558,-0.963152654615103,-0.9377212631897848
2018-03-22,336.11199951171875,338.1493308872349,332.7329665047665,336.4101352103719,9255091,0.0129455750958802,-0.963152654615103,-0.9377212631897848
