ticker,general_sentiment,ai_sentiment,combined_sentiment,sector
AAPL,-0.8127955850958825,-0.8222678043224193,-0.8175316947091509,Technology
ADBE,-0.8825517187655811,-0.8920909644414982,-0.8873213416035397,Technology
ALLY,-0.7326611090790142,-0.631604346136252,-0.6821327276076331,Financial
AMAT,-0.7617829868505741,-0.9380384202186878,-0.8499107035346309,Technology
AMD,-0.8119160358607769,-0.861804860982166,-0.8368604484214714,Technology
AMZN,-0.7307778590917587,-0.8178369478976473,-0.7743074034947031,Technology
AVGO,-0.7589597320731949,-0.7560050622109444,-0.7574823971420697,Technology
AXP,-0.7969847406659808,-0.6712600022186468,-0.7341223714423137,Financial
BAC,-0.6593872782162258,-0.6144078914652166,-0.6368975848407212,Financial
BAMXF,-0.9892457528869705,-0.9336231922109922,-0.9614344725489814,EV
BK,-0.8413457307289904,-0.6590828503881182,-0.7502142905585543,Financial
BYDDY,-0.8386497387179622,-0.9279675799257615,-0.8833086593218619,EV
C,-0.6913942483817639,-0.7185732587691276,-0.7049837535754457,Financial
CFG,-0.6939492085884358,-0.8822555952384824,-0.788102401913459,Financial
COF,-0.9240664723036173,-0.9379426306340752,-0.9310045514688463,Financial
CRM,-0.7102454815279035,-0.7466375870364053,-0.7284415342821544,Technology
CSCO,-0.8169481566319099,-0.8678078664974733,-0.8423780115646916,Technology
DDOG,-0.754270932289085,-0.8362721158907964,-0.7952715240899407,Technology
DOCU,-0.7393014233882033,-0.8219501423835754,-0.7806257828858894,Technology
F,-0.9404250679636849,-0.8773179054260254,-0.9088714866948551,EV
FHN,-0.703231004095569,-0.7204679407057215,-0.7118494724006452,Financial
FITB,-0.7793701855341594,-0.6778014302253723,-0.7285858078797658,Financial
GELYF,-0.8993544746667911,-0.994008019566536,-0.9466812471166635,EV
GM,-0.8446419254426033,-0.8568168239934104,-0.8507293747180069,EV
GNZUF,-0.9454384697111029,-0.722993274529775,-0.8342158721204389,EV
GOOG,-0.9069662155928435,-0.9199390264589395,-0.9134526210258915,Technology
GOOGL,-0.8779131662414734,-0.9254045172255169,-0.9016588417334952,Technology
GS,-0.7750401005342409,-0.8807956976049086,-0.8279178990695748,Financial
