portfolio_id,portfolio_name,description,tickers,avg_ai_sentiment,avg_general_sentiment,avg_combined_sentiment
1,Portfolio 1,High Positive AI Sentiment,"['GNZUF', 'TFC', 'NIO', 'GELYF', 'DDOG', 'MS', 'NOW', 'SHOP', 'SNOW', 'TSLA', 'WFC', 'ORCL', 'PSNY', 'HSBC', 'FITB', 'LCID', 'MU', 'AVGO', 'GS', 'USB', 'SNAP', 'ADBE', 'NTRS', 'QCOM', 'TXN', 'TSM', 'NVDA', 'KEY', 'RY']",-0.7443867355302155,-0.7860921358371428,-0.765239435683679
2,Portfolio 2,Neutral AI Sentiment,"['AMD', 'UBER', 'NET', 'DOCU', 'MSFT', 'GM', 'IBM', 'F', 'LI', 'LYFT', 'META', 'CRM', 'AMAT', '7211.T', 'C', 'SAIC', 'XPEV', 'BYDDY', 'BAC', 'CFG', 'RIVN', 'AAPL', 'SQ', 'INTC', 'STT', 'JPM', 'BK', 'AXP', 'FHN']",-0.8592563442663855,-0.8325051640961477,-0.8458807541812667
3,Portfolio 3,Negative/Low AI Sentiment,"['TD', 'SCHW', 'AMZN', 'SAN', 'COF', 'RNLSY', 'STLA', 'VWAGY', 'GOOGL', 'GOOG', 'GWLLY', 'RF', 'ALLY', 'POAHY', 'CSCO', 'BMW.DE', 'MAHMF', 'MBGYY', 'NSANY', 'HYMTF', 'ZION', 'TATAMOTORS.NS', 'PNC', 'HYLN', 'NBHC', 'KIMTF', 'HBAN', 'MTB', 'NKLA', 'SYF']",-0.9503986811850956,-0.9006006632291365,-0.9254996722071163
